name,salary_from,salary_to,salary_currency,area_name,published_at
Junior Java developer,400.0,600.0,USD,Алматы,2022-12-12T06:55:35+0300
SMM (СММ) специалист / Контент-менеджер,45000.0,,RUR,Челябинск,2022-12-12T07:17:35+0300
Программист-стажер 1C,40000.0,50000.0,RUR,Хабаровск,2022-12-12T02:28:21+0300
Графический дизайнер,40000.0,50000.0,RUR,Иркутск,2022-12-12T03:29:27+0300
Оператор станков с ПУ,60000.0,120000.0,RUR,Екатеринбург,2022-12-12T05:35:39+0300
Аналитик,,,,Москва,2022-12-12T01:06:32+0300
Инженер мониторинга сети,40000.0,,RUR,Новосибирск,2022-12-12T06:34:10+0300
Начальник IT-отдела,,,,Алматы,2022-12-12T07:38:16+0300
Контент-менеджер/Копирайтер,,,,Ижевск,2022-12-12T07:24:18+0300
Разработчик Python и SQL,60000.0,,RUR,Владивосток,2022-12-12T03:44:01+0300
Редактор внутренних коммуникаций,80000.0,,RUR,Новосибирск,2022-12-12T07:58:20+0300
React разработчик (middle/senior),,,,Москва,2022-12-12T07:30:41+0300
Системный администратор,200000.0,250000.0,KZT,Усть-Каменогорск,2022-12-12T07:51:06+0300
Web-программист,85000.0,,RUR,Хабаровск,2022-12-12T02:27:57+0300
Системный администратор,300000.0,,KZT,Астана,2022-12-12T06:52:42+0300
Программист,80000.0,100000.0,RUR,Тюмень,2022-12-12T07:51:20+0300
Руководитель проектов,50000.0,,RUR,Магнитогорск,2022-12-12T06:53:27+0300
DB Specialist / Разработчик БД (Oracle/Postgresql),,,,Москва,2022-12-12T06:09:15+0300
Программист Python,80000.0,130000.0,RUR,Санкт-Петербург,2022-12-12T06:50:29+0300
Data Scientist (Computer Vision) / Junior,70000.0,,RUR,Владивосток,2022-12-12T03:30:04+0300
Оператор станка с ЧПУ,45000.0,60000.0,RUR,Новосибирск,2022-12-12T06:52:51+0300
Системный администратор,35000.0,55000.0,RUR,Смоленск,2022-12-12T07:09:18+0300
Системный администратор,,,,Уфа,2022-12-12T06:10:44+0300
Backend Middle/Middle+,1000.0,1200.0,USD,Алматы,2022-12-12T06:12:20+0300
Инженер-программист / Бэкенд-разработчик на Python,50000.0,,RUR,Омск,2022-12-12T07:06:46+0300
Web-разработчик (Full-stack),,,,Пермь,2022-12-12T06:36:13+0300
Специалист технической поддержки (эникейщик),40000.0,40000.0,RUR,Самара,2022-12-12T07:29:34+0300
Java разработчик,,,,Астана,2022-12-12T06:46:51+0300
Оператор станка лазерной резки металла,60000.0,,RUR,Красноярск,2022-12-12T06:53:05+0300
Middle Mobile QA,,,,Караганда,2022-12-12T07:15:30+0300
Data Engineer (Junior),70000.0,,RUR,Владивосток,2022-12-12T03:30:05+0300
Программист PHP,50000.0,150000.0,RUR,Кемерово,2022-12-12T06:14:11+0300
Специалист технической поддержки,25000.0,50000.0,RUR,Пермь,2022-12-12T07:29:36+0300
Сетевой инженер,50000.0,,RUR,Омск,2022-12-12T07:06:46+0300
Системный администратор,50000.0,,RUR,Омск,2022-12-12T06:16:02+0300
Руководитель ИТ,,,,Хабаровск,2022-12-12T02:11:34+0300
Сервисный инженер,65000.0,,RUR,Санкт-Петербург,2022-12-12T01:00:37+0300
Системный администратор,35000.0,45000.0,RUR,Саратов,2022-12-12T07:29:03+0300
Инженер-программист,,,,Оренбург,2022-12-12T06:07:11+0300
Системный администратор,55000.0,,RUR,Омск,2022-12-12T05:44:00+0300
Продакт-менеджер,70000.0,120000.0,RUR,Кемерово,2022-12-12T06:44:29+0300
Ведущий специалист по информационным системам,44000.0,50000.0,RUR,Тюмень,2022-12-12T07:50:41+0300
Специалист технической поддержки,,32000.0,RUR,Санкт-Петербург,2022-12-12T01:00:42+0300
Техник по обслуживанию зданий,32428.0,40230.0,RUR,Улан-Удэ,2022-12-12T05:38:11+0300
Специалист по защите информации,46975.0,,RUR,Челябинск,2022-12-12T06:20:01+0300
Прикладной администратор (дежурный),,,,Красноярск,2022-12-12T06:05:55+0300
Оператор автоматических и полуавтоматических линий станков и установок,35000.0,,RUR,Ульяновск,2022-12-12T06:51:21+0300
"IOS Developer (Middle, Senior)",180000.0,450000.0,RUR,Москва,2022-12-12T00:49:03+0300
Токарь,40000.0,,RUR,Ижевск,2022-12-12T07:38:22+0300
Системный администратор,55000.0,,RUR,Челябинск,2022-12-12T06:45:52+0300
Системный администратор (виртуализация),,,,Красноярск,2022-12-12T06:08:56+0300
Инженер технической поддержки,,60000.0,RUR,Хабаровск,2022-12-12T05:59:12+0300
Техник,25000.0,,RUR,Астрахань,2022-12-12T07:26:49+0300
Инженер связи,65000.0,,RUR,Новосибирск,2022-12-12T07:37:02+0300
Web-разработчик,60000.0,80000.0,RUR,Краснодар,2022-12-12T00:37:55+0300
Оператор станков с ПУ,60000.0,90000.0,RUR,Омск,2022-12-12T05:43:54+0300
Data Analyst\ Аналитик данных (Бизнес аналитик),,,,Алматы,2022-12-12T07:08:43+0300
Механик,207000.0,310000.0,KZT,Костанай,2022-12-12T05:43:01+0300
Ведущий программист Java,,,,Оренбург,2022-12-12T07:58:07+0300
Программист,60000.0,,RUR,Новосибирск,2022-12-12T04:52:26+0300
Аналитик (Data science),,,,Хабаровск,2022-12-12T03:04:16+0300
Программист,25000.0,,RUR,Новоалтайск,2022-12-12T04:57:18+0300
